H2,Amount adsorbed [g/100g]
atm,Carbosieve,atm,Norit,atm,Maxsorb
0.000000,0.000000,0.0000000,0.000000,0.000000,0.000000
0.007861635,0.521390,0.011006289,0.374331551,0.007861635,0.138146168
0.022012579,0.75311943,0.023584906,0.494652406,0.023584906,0.267380
0.047170,0.962566845,0.050314465,0.655080,0.047170,0.409982175
0.075471698,1.096256684,0.100628931,0.828877005,0.072327044,0.516934046
0.100628931,1.1942959,0.150943396,0.953654189,0.100628931,0.606060606
0.122641509,1.270053476,0.199685535,1.038324421,0.125786164,0.68627451
0.149371069,1.332442068,0.248427673,1.118538324,0.150943396,0.757575758
0.174528302,1.39483066,0.298742138,1.180926916,0.176100629,0.811051693
0.199685535,1.439393939,0.349056604,1.234402852,0.201257862,0.868983957
0.224842767,1.483957219,0.397798742,1.278966132,0.224842767,0.922460
0.248427673,1.519607843,0.451257862,1.323529412,0.253144654,0.975935829
0.272012579,1.550802139,0.501572327,1.363636364,0.27672956,1.016042781
0.297170,1.590909091,0.548742138,1.390374332,0.301886792,1.065062389
0.350628931,1.639928699,0.599056604,1.426024955,0.352201258,1.140820
0.396226415,1.693404635,0.652515723,1.448306595,0.400943396,1.212121212
0.446540881,1.729055258,0.701257862,1.475044563,0.451257862,1.274510
0.498427673,1.773618538,0.751572327,1.506238859,0.500000,1.341354724
0.548742138,1.804812834,0.800314465,1.519607843,0.548742138,1.403743316
0.599056604,1.831550802,0.850628931,1.550802139,0.603773585,1.443850
0.647798742,1.85828877,0.899371069,1.573083779,0.652515723,1.506238859
0.701257862,1.885026738,0.9528302,1.590909091,0.751572327,1.595365419
0.750000,1.916221034,1.0000000,1.613190731,0.800314465,1.639928699
0.798742138,1.942959002,,,0.850628931,1.675579323
0.849056604,1.956327986,,,0.899371069,1.720142602
0.896226415,1.974153298,,,0.949685535,1.751336898
0.946540881,2.005347594,,,0.990566038,1.76916221
0.990566038,2.009803922
