material,OGB
material_batch,Test
temperature,77.000
adsorbate,N2
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,true
pressure_unit,kPa
pressure_mode,relative
loading_basis,molar
loading_unit,cm3(STP)
adsorbent_basis,mass
adsorbent_unit,g
data
pressure,loading
1.50E-03, 0.7262
8.09E-03, 0.8322
1.84E-02, 0.9052
3.39E-02, 0.9224
4.40E-02, 0.9326
5.97E-02, 0.9608
7.48E-02, 0.9713
8.98E-02, 0.9919
1.12E-01, 1.0187
1.37E-01, 1.0426
0.1525, 1.0658
0.1674, 1.0824
0.1873, 1.1253
0.2072, 1.1702
0.2273, 1.2207
0.2569, 1.303
0.2867, 1.3975
0.307, 1.4626
0.3368, 1.5556
0.3574, 1.6165
0.3882, 1.693
0.4088, 1.7454
0.4337, 1.799
0.4589, 1.8548
0.4838, 1.8964
0.5087, 1.9584
0.5384, 2.0249
0.5588, 2.0812
0.5836, 2.1404
0.6089, 2.2179
0.6432, 2.3344
0.6688, 2.4559
0.6943, 2.5676
0.7188, 2.685
0.7435, 2.814
0.7688, 2.9692
0.7935, 3.1435
0.8177, 3.3297
0.8478, 3.618
0.8666, 3.8753
0.9099, 4.7647
0.9592, 7.6331
